DEPARTAMENTO,MUNICIPIO,CODIGO DANE,ARMA MEDIO,FECHA HECHO,GENERO,AGRUPA EDAD,CANTIDAD
ANTIOQUIA,PUERTO TRIUNFO,05591000,ARMA DE FUEGO,1/6/2019,MASCULINO,ADULTOS,1
ANTIOQUIA,PUERTO TRIUNFO,05591000,ARMA DE FUEGO,1/6/2019,MASCULINO,ADULTOS,1
NORTE DE SANTANDER,OCAÑA,54498000,ARMA DE FUEGO,1/6/2019,MASCULINO,ADULTOS,1
ANTIOQUIA,CÁCERES,05120000,ARMA DE FUEGO,1/6/2019,MASCULINO,ADULTOS,1
ANTIOQUIA,CAUCASIA,05154000,ARMA DE FUEGO,1/6/2019,MASCULINO,ADULTOS,1
ANTIOQUIA,CAUCASIA,05154000,ARMA DE FUEGO,1/6/2019,MASCULINO,ADULTOS,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,ARMA DE FUEGO,1/6/2019,MASCULINO,ADULTOS,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,ARMA DE FUEGO,1/6/2019,MASCULINO,ADULTOS,1
VALLE,CALI (CT),76001000,ARMA DE FUEGO,1/6/2019,MASCULINO,ADULTOS,1
VALLE,OBANDO,76497000,ARMA DE FUEGO,1/6/2019,MASCULINO,ADOLESCENTES,1
CAUCA,CAJIBÍO,19130000,ARMA DE FUEGO,1/6/2019,MASCULINO,ADULTOS,1
CUNDINAMARCA,SILVANIA,25743000,ARMA DE FUEGO,1/6/2019,MASCULINO,ADULTOS,1
CESAR,LA PAZ,20621000,ARMA DE FUEGO,1/6/2019,MASCULINO,ADULTOS,1
META,PUERTO RICO,50590000,ARMA DE FUEGO,1/6/2019,MASCULINO,ADULTOS,1
CÓRDOBA,MONTERÍA (CT),23001000,ARMA DE FUEGO,1/6/2019,FEMENINO,ADULTOS,1
PUTUMAYO,VALLE DEL GUAMUEZ,86865000,ARMA DE FUEGO,1/6/2019,MASCULINO,ADULTOS,1
VALLE,EL CERRITO,76248000,ARMA DE FUEGO,1/6/2019,MASCULINO,ADULTOS,1
VALLE,EL CERRITO,76248000,CONTUNDENTES,1/6/2019,MASCULINO,ADULTOS,1
